"","englishname","latinname","speciesgroup","year","distance","yrtot","yr.maxday","yrtot.back","yrtot.fin"
"1","Bearded vulture","Gypaetus barbatus","Rare",2021,"Interior",1,1,0,1
"2","Black kite","Milvus migrans","Buzzards & Kites",2008,"Coast",17455,3919,0,17455
"3","Black kite","Milvus migrans","Buzzards & Kites",2008,"Foothills",21549,3655,0,21549
"4","Black kite","Milvus migrans","Buzzards & Kites",2008,"Interior",19547,3229,0,19547
"5","Black kite","Milvus migrans","Buzzards & Kites",2009,"Coast",12823,2790,0,12823
"6","Black kite","Milvus migrans","Buzzards & Kites",2009,"Foothills",28763,6400,0,28763
"7","Black kite","Milvus migrans","Buzzards & Kites",2009,"Interior",24859,5116,0,24859
"8","Black kite","Milvus migrans","Buzzards & Kites",2010,"Coast",26333,4189,0,26333
"9","Black kite","Milvus migrans","Buzzards & Kites",2010,"Foothills",17771,2637,0,17771
"10","Black kite","Milvus migrans","Buzzards & Kites",2010,"Interior",22137,4074,0,22137
"11","Black kite","Milvus migrans","Buzzards & Kites",2011,"Coast",29637,4517,0,29637
"12","Black kite","Milvus migrans","Buzzards & Kites",2011,"Foothills",26409,2306,0,26409
"13","Black kite","Milvus migrans","Buzzards & Kites",2011,"Interior",24160,3412,0,24160
"14","Black kite","Milvus migrans","Buzzards & Kites",2012,"Coast",44083,6317,0,44083
"15","Black kite","Milvus migrans","Buzzards & Kites",2012,"Foothills",38787,2759,0,38787
"16","Black kite","Milvus migrans","Buzzards & Kites",2012,"Interior",20256,2105,0,20256
"17","Black kite","Milvus migrans","Buzzards & Kites",2013,"Coast",32350,4440,9,32341
"18","Black kite","Milvus migrans","Buzzards & Kites",2013,"Foothills",28282,3146,1,28281
"19","Black kite","Milvus migrans","Buzzards & Kites",2013,"Interior",43742,6121,0,43742
"20","Black kite","Milvus migrans","Buzzards & Kites",2014,"Coast",30477,4798,7,30470
"21","Black kite","Milvus migrans","Buzzards & Kites",2014,"Foothills",37884,5557,52,37832
"22","Black kite","Milvus migrans","Buzzards & Kites",2014,"Interior",36308,5204,0,36308
"23","Black kite","Milvus migrans","Buzzards & Kites",2015,"Coast",41984,9944,3,41981
"24","Black kite","Milvus migrans","Buzzards & Kites",2015,"Foothills",55277,12335,0,55277
"25","Black kite","Milvus migrans","Buzzards & Kites",2015,"Interior",21259,1697,1,21258
"26","Black kite","Milvus migrans","Buzzards & Kites",2016,"Coast",54781,12949,1,54780
"27","Black kite","Milvus migrans","Buzzards & Kites",2016,"Foothills",61613,9173,3,61610
"28","Black kite","Milvus migrans","Buzzards & Kites",2016,"Interior",47029,17896,1,47028
"29","Black kite","Milvus migrans","Buzzards & Kites",2017,"Coast",80850,11357,7,80843
"30","Black kite","Milvus migrans","Buzzards & Kites",2017,"Foothills",55649,4729,0,55649
"31","Black kite","Milvus migrans","Buzzards & Kites",2017,"Interior",22662,2416,0,22662
"32","Black kite","Milvus migrans","Buzzards & Kites",2018,"Coast",75640,18724,8,75632
"33","Black kite","Milvus migrans","Buzzards & Kites",2018,"Foothills",44473,4853,0,44473
"34","Black kite","Milvus migrans","Buzzards & Kites",2018,"Interior",28964,3149,1,28963
"35","Black kite","Milvus migrans","Buzzards & Kites",2019,"Coast",90181,7900,16,90165
"36","Black kite","Milvus migrans","Buzzards & Kites",2019,"Foothills",95372,10500,0,95372
"37","Black kite","Milvus migrans","Buzzards & Kites",2019,"Interior",37015,4624,0,37015
"38","Black kite","Milvus migrans","Buzzards & Kites",2021,"Coast",179194,27475,10,179184
"39","Black kite","Milvus migrans","Buzzards & Kites",2021,"Foothills",63392,9508,0,63392
"40","Black kite","Milvus migrans","Buzzards & Kites",2021,"Interior",39708,5979,0,39708
"41","Black kite","Milvus migrans","Buzzards & Kites",2022,"Coast",18902,9603,0,18902
"42","Black kite","Milvus migrans","Buzzards & Kites",2022,"Foothills",24656,10332,0,24656
"43","Black kite","Milvus migrans","Buzzards & Kites",2022,"Interior",41231,21251,0,41231
"44","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2008,"Coast",129,41,0,129
"45","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2008,"Foothills",344,60,0,344
"46","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2008,"Interior",620,229,0,620
"47","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2009,"Coast",231,79,0,231
"48","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2009,"Foothills",450,183,0,450
"49","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2009,"Interior",479,117,0,479
"50","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2010,"Coast",204,54,0,204
"51","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2010,"Foothills",266,72,0,266
"52","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2010,"Interior",410,80,0,410
"53","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2011,"Coast",112,29,0,112
"54","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2011,"Foothills",313,40,0,313
"55","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2011,"Interior",567,89,0,567
"56","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2012,"Coast",179,42,0,179
"57","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2012,"Foothills",528,63,0,528
"58","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2012,"Interior",596,91,0,596
"59","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2013,"Coast",368,73,1,367
"60","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2013,"Foothills",536,94,0,536
"61","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2013,"Interior",579,96,0,579
"62","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2014,"Coast",113,28,1,112
"63","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2014,"Foothills",351,72,0,351
"64","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2014,"Interior",1001,219,0,1001
"65","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2015,"Coast",110,12,1,109
"66","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2015,"Foothills",528,59,1,527
"67","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2015,"Interior",622,125,0,622
"68","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2016,"Coast",179,39,1,178
"69","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2016,"Foothills",367,61,0,367
"70","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2016,"Interior",654,145,0,654
"71","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2017,"Coast",207,46,5,202
