"","englishname","latinname","speciesgroup","year","yday","date","distance","daytot","daytot.back","daytot.fin"
"1","Bearded vulture","Gypaetus barbatus","Rare",2021,281,2021-10-08,"Interior",1,0,1
"2","Black kite","Milvus migrans","Buzzards & Kites",2008,235,2008-08-22,"Foothills",14,0,14
"3","Black kite","Milvus migrans","Buzzards & Kites",2008,235,2008-08-22,"Interior",7,0,7
"4","Black kite","Milvus migrans","Buzzards & Kites",2008,236,2008-08-23,"Coast",7,0,7
"5","Black kite","Milvus migrans","Buzzards & Kites",2008,236,2008-08-23,"Foothills",232,0,232
"6","Black kite","Milvus migrans","Buzzards & Kites",2008,236,2008-08-23,"Interior",175,0,175
"7","Black kite","Milvus migrans","Buzzards & Kites",2008,237,2008-08-24,"Coast",5,0,5
"8","Black kite","Milvus migrans","Buzzards & Kites",2008,237,2008-08-24,"Foothills",7,0,7
"9","Black kite","Milvus migrans","Buzzards & Kites",2008,237,2008-08-24,"Interior",96,0,96
"10","Black kite","Milvus migrans","Buzzards & Kites",2008,238,2008-08-25,"Coast",12,0,12
"11","Black kite","Milvus migrans","Buzzards & Kites",2008,238,2008-08-25,"Foothills",11,0,11
"12","Black kite","Milvus migrans","Buzzards & Kites",2008,238,2008-08-25,"Interior",19,0,19
"13","Black kite","Milvus migrans","Buzzards & Kites",2008,239,2008-08-26,"Coast",17,0,17
"14","Black kite","Milvus migrans","Buzzards & Kites",2008,239,2008-08-26,"Foothills",30,0,30
"15","Black kite","Milvus migrans","Buzzards & Kites",2008,239,2008-08-26,"Interior",54,0,54
"16","Black kite","Milvus migrans","Buzzards & Kites",2008,240,2008-08-27,"Coast",4,0,4
"17","Black kite","Milvus migrans","Buzzards & Kites",2008,240,2008-08-27,"Foothills",24,0,24
"18","Black kite","Milvus migrans","Buzzards & Kites",2008,240,2008-08-27,"Interior",47,0,47
"19","Black kite","Milvus migrans","Buzzards & Kites",2008,241,2008-08-28,"Coast",100,0,100
