"","englishname","latinname","speciesgroup","year","distance","yrtot","yr.maxday","yrtot.back","yrtot.fin"
"1","Black kite","Milvus migrans","Buzzards & Kites",2019,"Coast",195083,40181,0,195083
"2","Black kite","Milvus migrans","Buzzards & Kites",2019,"Foothills",15195,2038,0,15195
"3","Black kite","Milvus migrans","Buzzards & Kites",2019,"Interior",9843,2744,0,9843
"4","Black kite","Milvus migrans","Buzzards & Kites",2020,"Coast",198043,43347,42,198001
"5","Black kite","Milvus migrans","Buzzards & Kites",2020,"Foothills",21588,2815,1,21587
"6","Black kite","Milvus migrans","Buzzards & Kites",2020,"Interior",14871,2594,0,14871
"7","Black kite","Milvus migrans","Buzzards & Kites",2022,"Coast",212298,24780,477,211821
"8","Black kite","Milvus migrans","Buzzards & Kites",2022,"Foothills",28238,4906,3,28235
"9","Black kite","Milvus migrans","Buzzards & Kites",2022,"Interior",23788,4655,0,23788
"10","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2019,"Coast",151,18,0,151
"11","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2019,"Foothills",70,10,0,70
"12","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2019,"Interior",40,16,0,40
"13","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2020,"Coast",330,50,0,330
"14","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2020,"Foothills",116,19,1,115
"15","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2020,"Interior",52,22,0,52
"16","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2022,"Coast",411,60,0,411
"17","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2022,"Foothills",81,13,0,81
"18","Black stork","Ciconia negra","Cranes, Storks & Pelicans",2022,"Interior",54,9,0,54
"19","Black vulture","Aegypius monachus","Rare",2019,"Coast",1,1,0,1
"20","Black vulture","Aegypius monachus","Rare",2020,"Coast",0,0,1,-1
"21","Black vulture","Aegypius monachus","Rare",2020,"Foothills",1,1,0,1
"22","Black vulture","Aegypius monachus","Rare",2022,"Coast",2,1,0,2
"23","Booted eagle","Hieraaetus pennatus","Eagles",2019,"Coast",759,114,0,759
"24","Booted eagle","Hieraaetus pennatus","Eagles",2019,"Foothills",95,14,0,95
"25","Booted eagle","Hieraaetus pennatus","Eagles",2019,"Interior",27,8,0,27
"26","Booted eagle","Hieraaetus pennatus","Eagles",2020,"Coast",1518,179,0,1518
"27","Booted eagle","Hieraaetus pennatus","Eagles",2020,"Foothills",175,27,0,175
"28","Booted eagle","Hieraaetus pennatus","Eagles",2020,"Interior",63,17,0,63
"29","Booted eagle","Hieraaetus pennatus","Eagles",2022,"Coast",1179,126,0,1179
