"","englishname","latinname","speciesgroup","year","yday","date","distance","daytot","daytot.back","daytot.fin"
"1","Black kite","Milvus migrans","Buzzards & Kites",2019,80,2019-03-21,"Coast",76,0,76
"2","Black kite","Milvus migrans","Buzzards & Kites",2019,82,2019-03-23,"Coast",3384,0,3384
"3","Black kite","Milvus migrans","Buzzards & Kites",2019,82,2019-03-23,"Foothills",446,0,446
"4","Black kite","Milvus migrans","Buzzards & Kites",2019,83,2019-03-24,"Coast",132,0,132
"5","Black kite","Milvus migrans","Buzzards & Kites",2019,84,2019-03-25,"Coast",2798,0,2798
"6","Black kite","Milvus migrans","Buzzards & Kites",2019,84,2019-03-25,"Foothills",72,0,72
"7","Black kite","Milvus migrans","Buzzards & Kites",2019,84,2019-03-25,"Interior",3,0,3
"8","Black kite","Milvus migrans","Buzzards & Kites",2019,85,2019-03-26,"Coast",10231,0,10231
"9","Black kite","Milvus migrans","Buzzards & Kites",2019,85,2019-03-26,"Foothills",5,0,5
"10","Black kite","Milvus migrans","Buzzards & Kites",2019,88,2019-03-29,"Coast",6376,0,6376
"11","Black kite","Milvus migrans","Buzzards & Kites",2019,88,2019-03-29,"Foothills",126,0,126
"12","Black kite","Milvus migrans","Buzzards & Kites",2019,88,2019-03-29,"Interior",8,0,8
"13","Black kite","Milvus migrans","Buzzards & Kites",2019,89,2019-03-30,"Coast",4653,0,4653
"14","Black kite","Milvus migrans","Buzzards & Kites",2019,89,2019-03-30,"Interior",1,0,1
"15","Black kite","Milvus migrans","Buzzards & Kites",2019,90,2019-03-31,"Coast",11451,0,11451
"16","Black kite","Milvus migrans","Buzzards & Kites",2019,90,2019-03-31,"Foothills",9,0,9
"17","Black kite","Milvus migrans","Buzzards & Kites",2019,93,2019-04-03,"Coast",28551,0,28551
"18","Black kite","Milvus migrans","Buzzards & Kites",2019,93,2019-04-03,"Foothills",2038,0,2038
"19","Black kite","Milvus migrans","Buzzards & Kites",2019,93,2019-04-03,"Interior",604,0,604
"20","Black kite","Milvus migrans","Buzzards & Kites",2019,94,2019-04-04,"Coast",10852,0,10852
"21","Black kite","Milvus migrans","Buzzards & Kites",2019,95,2019-04-05,"Coast",40181,0,40181
"22","Black kite","Milvus migrans","Buzzards & Kites",2019,95,2019-04-05,"Foothills",1015,0,1015
"23","Black kite","Milvus migrans","Buzzards & Kites",2019,95,2019-04-05,"Interior",259,0,259
"24","Black kite","Milvus migrans","Buzzards & Kites",2019,96,2019-04-06,"Coast",16326,0,16326
"25","Black kite","Milvus migrans","Buzzards & Kites",2019,96,2019-04-06,"Foothills",450,0,450
"26","Black kite","Milvus migrans","Buzzards & Kites",2019,96,2019-04-06,"Interior",270,0,270
"27","Black kite","Milvus migrans","Buzzards & Kites",2019,97,2019-04-07,"Coast",10032,0,10032
"28","Black kite","Milvus migrans","Buzzards & Kites",2019,97,2019-04-07,"Foothills",844,0,844
"29","Black kite","Milvus migrans","Buzzards & Kites",2019,97,2019-04-07,"Interior",2182,0,2182
"30","Black kite","Milvus migrans","Buzzards & Kites",2019,98,2019-04-08,"Coast",15745,0,15745
"31","Black kite","Milvus migrans","Buzzards & Kites",2019,98,2019-04-08,"Foothills",1609,0,1609
"32","Black kite","Milvus migrans","Buzzards & Kites",2019,98,2019-04-08,"Interior",388,0,388
"33","Black kite","Milvus migrans","Buzzards & Kites",2019,99,2019-04-09,"Coast",1728,0,1728
"34","Black kite","Milvus migrans","Buzzards & Kites",2019,99,2019-04-09,"Foothills",380,0,380
"35","Black kite","Milvus migrans","Buzzards & Kites",2019,99,2019-04-09,"Interior",2744,0,2744
"36","Black kite","Milvus migrans","Buzzards & Kites",2019,101,2019-04-11,"Coast",2351,0,2351
"37","Black kite","Milvus migrans","Buzzards & Kites",2019,101,2019-04-11,"Foothills",720,0,720
"38","Black kite","Milvus migrans","Buzzards & Kites",2019,101,2019-04-11,"Interior",1075,0,1075
"39","Black kite","Milvus migrans","Buzzards & Kites",2019,102,2019-04-12,"Coast",6494,0,6494
"40","Black kite","Milvus migrans","Buzzards & Kites",2019,102,2019-04-12,"Foothills",276,0,276
"41","Black kite","Milvus migrans","Buzzards & Kites",2019,102,2019-04-12,"Interior",286,0,286
"42","Black kite","Milvus migrans","Buzzards & Kites",2019,103,2019-04-13,"Coast",2086,0,2086
"43","Black kite","Milvus migrans","Buzzards & Kites",2019,103,2019-04-13,"Foothills",451,0,451
"44","Black kite","Milvus migrans","Buzzards & Kites",2019,103,2019-04-13,"Interior",235,0,235
"45","Black kite","Milvus migrans","Buzzards & Kites",2019,104,2019-04-14,"Coast",485,0,485
